sentence	negated
The board is self-perpetuating with the board electing or re-electing the trustees.	The board is self-perpetuating with the board authoratively selecting or re-selecting the trustees.
New Woman was founded in 1996.	New Woman was discontinued in 1996.
The client sold the property to the Shafters.	The client bought the property from the Shafters.
Dallen ultimately sold them at 150, quintupling his clients' and firm's investments.	Dallen ultimately bought them at 150, doubling his clients' and firm's investments.
Reported cases of SRA involve bizarre activities, some of which are impossible (like people flying).	Reported cases of SRA involved some bizarre activities, all of which are impossible (like people flying).
It is found in Mongolia.	It is absent in Mongolia.
Proposals to switch to a soft-sculpture costume were rejected in 2006 and 2011.	Proposals to switch from a soft-sculpture costume were approved in 2006 and 2011.
A summary of the initial parameters is given by Civic Voice.	A summary of the later parameters is given to Civic Voice.
Packaging for protection and display has developed from paper wrapping to plastic bags and boxes.	Packaging for protection and display has developed from plastic wrapping to paper bags and boxes.
A set of original architectural drawings are housed at the Virginia Historical Society.	A set of copied architectural drawings are present at the Virginia Historical Society.
The Morris-Oquaga-Wellsboro soil series is found along the creek in Sullivan County.	The Morris-Oquaga-Wellsboro soil series is far away from the creek in Sullivan County.
Similar psychosocial problems are reported in other conditions which cause genuine odor symptoms.	Different psychosocial issues are reported in other conditions which cause genuine odor symptoms.
The house was built by James Barbour Newman, nephew of Governor James Barbour.	The house was destroyed by James Barbour Newman, son of Governor James Barbour.
The river flows through the western part of the Harridge Woods nature reserve.	The river flows through the easter part of the Harridge Woods nature park.
The firm's 2009 SEC 10-K filing draws a distinction between associates and preferred customers.	The firm's 2009 SEC 10-K filing says associates and preferred customers are identical.
However, subsequent research has placed it in the more derived group Abelisaur oidea, .	However, following research has placed it in the less derived group Abelisaur oidea, .
It is also sometimes referred to as Bemisia argentifolii.	It is always referred to only as Bemisia argentifolii.
The US Army chose the Stryker over tracked vehicles due to these advantages.	The US Army selected the Stryker over tracked vehicles due to these disadvantages.
Rape, mutilation, and torture were also widespread.	Rape, mutilation, and torture were unheard of.
Smaller numbers have settled in other Pacific islands, the United Kingdom, and other European countries.	Bigger numbers have settled in other Pacific islands, the United Kingdom, but not in other European countries.
Rare side effects include joint pain, memory loss, and muscle cramps.	Common side effects include joint pain and memory loss only.
In 2005, Midland received the Santa Barbara County Green Award.	In 2005, Midland presented the Santa Barbara County Green Award to the recipient.
It is one of only three 18th-century buildings remaining in Oxford.	It is one of only five 18th-century constructions left in Oxford.
It was moved to the present site in October 1975.	It was moved to the old location in October 1975.
The 2015 budget proposal recommends actions to eliminate the budget deficit completely.	The 2015 budget proposal forces actions to form the budget deficit completely.
An alternative procedure that generated Schwartz's Reagent from dihydride has also been reported.	An alternative process that eradicated Schwartz's Reagent from dihydride has also been reported.
Women who live at high altitude are also more likely to experience pre-eclampsia.	Women who live at high altitude are just less likely to go through pre-eclampsia.
Force T was disbanded in May 1945.	Force T was formed in May 1945.
The hindwings are brownish.	The hindwings are yellow.
In 2009 he led a national taskforce to improve neonatal services.	In 2009 he followed a national taskforce to deteriorate neonatal services.
He acquired the estate of Kenwood House from Brook Bridges, rebuilding the house.	He sold the estate of Kenwood House to Brook Bridges, destroying the house.
Discoveries from the psychology of art can be applied to various other fields of study.	Discoveries from the psychology of science are always applied to various other fields of study.
The video was also nominated for Best Short Form Music Video.	The video was never considered for Best Short Form Music Video.
He hails from the Habargidir / Ayr subclan within the Hawiye clan.	He is from the Habargidir / Ayr clan's subclan, the Hawiye clan.
Optimism bias is quite common and transcends gender, race, nationality and age.	Optimism bias is quite rare and transcends gender, race, and age only.
Neither Hamas nor Fatah had enough votes to form a new government under the constitution.	Both Hamas and Fatah had less votes to form a new government under the constitution.
The hindwings are yellowish white, becoming slightly darker distally.	The hindwings are yellowish green, becoming considerably darker distally.
By 1868, he was also practicing as an architect.	By 1868, he was just doing work as an architect.
The link express was made a single train till Kochi.	The link express was made a double bus till Kochi.
Personal protective equipment such as helmet s are sometimes equipped with impact monitors.	Professional protective equipment such as helmet s are always equipped with impact monitors.
His marketing was done by his friend Bob Wallace-Mitchell.	His programming was done by his brother Bob Wallace-Mitchell.
Fourr and his wife lost children that were buried nearby in the Fourr Cemetery.	Fourr and his wife lost kids that were buried far away in the Fourr Cemetery.
State Department continually faults Qatar on its human rights record while noting incremental year-to-year improvement.	State Department faulted Qatar once on its human rights record while noting decremental year-to-year improvement.
Further, Benton and Twitchett have a different definition of a runaway greenhouse;.	Further, Benton and Twitchett have the exact same definition of a runaway greenhouse;.
Fisher's screen role was in subbing for John Wayne.	Fisher's background role was in subbing to John Wayne.
The PANAS has been regarded as a highly reliable measure for non-clinical populations.	The PANAS has been regarded as a moderately reliable measure for non-clinical people.
Levi contributed to the soundtrack for Phil Collins' Ceremony at Manchester International Festival 2017.	Levi had nothing to do with the soundtrack for Phil Collins' Ceremony at Manchester International Festival 2017.
It is native to Arizona in the United States.	It is no correlation to Arizona in the United States.
According to the authors, status competition can thus be used to promote pro-environmental behavior.	According to the authors, status competition can therefore be never utilized to advertise pro-environmental behavior.
The Muslims refer to Jesus as Isa.	The Muslims do not refer to Jesus as Isa.
He played college golf at the University of Houston.	He only played college basketball at the University of Houston.
Toxic overdoses of benzodiazepines therefore cause prolonged CCT and IPLs.	Healthy overdoses of benzodiazepines therefore cure prolonged CCT and IPLs.
He practiced medicine in Karata, his native village, before moving to Dagestan.	He practiced medicine in Karata, his wife's old village, after moving to Dagestan.
Because of this, the referendum's legitimacy has been heavily disputed by the international community.	Due of this, the referendum's legitimacy has been unanimously accepted by the international community.
At Taft, he played drums in an upperclassmen band, King Thunder and the Lightning Bolts.	At Taft, he played the piano in an upperclassmen band, King Thunder and the Lightning Bolts.
Texts are available to scholars in Hebrew, English, German, Yiddish, Ladino, Arabic, and Latin.	Texts are not provided for access to scholars in Hebrew, English, German, Yiddish, Ladino, Arabic, and Latin.
The university is approved by the University Grants Commission.	The university is not recognized by the University Grants Commission.
All residential participants receive assistance with budgeting and household management.	All commerical participants give assistance with budgeting and household management.
The ability to share files in controlled ways (read, write-change, write-expand, destroy, permit).	The ability to steal files in uncontrolled manners (read, write-change, write-expand, destroy, permit).
Shells that may belong to this species have also been collected in southern Nevada.	Shells that definitely belong to this species have only been collected in southern Nevada.
Eurasian milfoil was intentionally introduced as an aquatic ornamental plant.	Eurasian milfoil was mistakenly introduced as an aquatic ornamental animal.
Beins are a feature of the plains and are marked by their zigzagging course.	Beins are a feature of the plains and are marked by their straight path.
It is consistent with SI standards.	It is against SI standards.
Donald Knuth has said that programming is an art and a science.	Donald Knuth has said that programming is just a science.
The hindwings have a linear cluster of scales.	The hindwings have a non-linear spread of scales.
It has also been recorded from the West Indies, including Jamaica.	It has not been recorded from the West Indies, not even Jamaica.
Numerous efforts have been made to define a process/planning ontology.	No efforts have been made to declare a process/planning ontology.
Modern research has provided further insight into the evolutionary and ecological role of bioturbation.	Modern research has not provided further insight into the evolutionary and ecological role of bioturbation.
Park development costs were estimated in 2005 at.	Park development costs were calculated exactly in 2005 at.
Completed projects include the extensions to Colma and Pittsburg/Bay Point (1996), Dublin/Pleasanton (1997), SFO/Milbrae (2003).	The extensions to Colma and Pittsburg/Bay Point (1996), Dublin/Pleasanton (1997), SFO/Milbrae (2003) are not among completed projects.
The mineral stenonite was named in his honour.	The metal stenonite was named in his cousin's honour.
Instead, Egger maintained, service learning mainly involves the inculcation of communitarian political ideologies.	Instead, Egger maintained, service learning completely ignores the inculcation of communitarian political ideologies.
Egg and larvae development have been extensively studied and described by Miller and Sumida.	Egg and larvae development have been studied very less and examined by Miller and Sumida.
Campbells Creek depends on Castlemaine for many of its services.	Campbells Creek depends on Castlemaine for just one of its services.
The reservation stretches from Lake Erie inward along Cattaraugus Creek.	The reservation stretches from Lake Erie outward against Cattaraugus Creek.
In January 1989 he beat Pedro Armando Gutierrez to take the WBC International lightweight title.	In January 1989 he lost to Pedro Armando Gutierrez, thus unable to win the WBC International lightweight title.
The habitat conditions along the East Branch Lackawanna River have been described as excellent.	The habitat conditions along the East Branch Lackawanna River have been called appalling.
Gerard Cott also was the honorary treasurer of the society organizing the Charleville Show.	Gerard Cott alone was the honorary treasurer of the society against the Charleville Show.
A full necropsy was performed to try to determine the cause of death.	A full necropsy was able to determine the cause of death but was not performed.
Later, the division was expanded by obtaining diagnostic laboratories and other equipment.	Later, the division was shrunken by getting diagnostic laboratories and other equipment.
The streambed of Gallows Run is publicly owned.	The streambed of Gallows Run is privately owned.
The park includes Woodward Pond, a man-made pond, also referred to as Foxhill Lake.	The park includes Woodward Pond, a natural pond, also called Foxhill Lake.
The following extacurriculars are available at Eisenhower Middle/High School.	The below extacurriculars are unavailable at Eisenhower Middle/High School.
It is also used to treat primary dysmenorrhea.	It is only used to cause primary dysmenorrhea.
One application of the process is a trading strategy known as pairs trade.	One application of the process is a hoarding technique known as pairs trade.
In May 1805, he was elected a Fellow of the Royal Society.	In May 1805, he failed to become a Fellow of the Royal Society.
Barca often taught economic development, corporate finance and Italian economic history at these universities.	Barca always learned economic development, corporate finance and Italian economic history at these universities.
In 1972 he won the Indurthi seat in the Andhra Pradesh Legislative Assembly election.	In 1972 he lost the Indurthi seat in the Andhra Pradesh Legislative Assembly by-election.
In 2014, the company announced that Whalley Precision would take over production of the pistols.	In 2014, the company released that Whalley Precision would lose production of the pistols.
This invasion was intended to secure and defend the Allied supply lines through the area.	This invasion was intended to attack the Allied supply lines offensively near the area.
All tires must be the same.	All tires must be different.
He is interred in Sacramento Historic City Cemetery.	He is a janitor in Sacramento Historic City Cemetery.
This species is native to Bolivia, Peru, and Ecuador.	This species has no connection to Bolivia, Peru, and Ecuador.
To respect and protect it shall be the duty of all state authority.	To insult and destroy it shall be the duty of all state authority.
There is also a small isolated population within the southernmost tip of Indiana.	There is only a large isolated population within the southernmost tip of Indiana.
The act does not define scientific necessity or regulate specific scientific procedures.	The act exactly defines scientific necessity but not regulate specific scientific procedures.
MAC-16s were found in numerous other roles, including the control systems for the Fermilab accelerators.	MAC-16s were never found in any other roles, even including the control systems for the Fermilab accelerators.
It was a conservative magazine and emphasized family values and connoisseurship.	It was a liberal magazine and ignored family values and connoisseurship.
It is monotypic within the genus Platalina.	It is polytypic inside the genus Platalina.
The institution is now known as Woodbourne Center.	The institution was never known as Woodbourne Center.
The Moon is thought to have a small core, but its interior is relatively homogenous.	The Moon is thought to have a large core, but its interior is exactly homogenous.
Stylistically, much of their work conformed to a conservative Italian Neo-Renaissance style.	Stylistically, all of their work conformed to a liberal Italian Neo-Renaissance style.
The ruling overturned an acquittal by the Court of Criminal Appeal.	The ruling accepted an acquittal to the Court of Criminal Appeal.
One of his sons, Yaroob, is married to daughter of Jamil Assad.	One of his daughters, Yaroob, is engaged to son of Jamil Assad.
Countries that performed the most aesthetic procedures in 2014 were.	Countries that performed the least aesthetic work in 2014 were.
Coconut palm, breadfruit, plantain, sago palm, and sugar cane are grown.	Only coconut palm, breadfruit, and sugar cane are grown.
The failure caused crude oil price to spike throughout the World.	The failure was due to a crude oil price to spike throughout the nation.
Dr Shenoy opined that governmental interventions in markets of all sort.	Dr Shenoy opined that governmental interventions in markets of just one kind.
At maturity (August - September) the fruit smells like over-ripe apples.	At maturity (August - September) the fruit smells like under-ripe bananas.
It is a vertical distance between survey point and adopted datum plane.	It is a horizontal distance between survey location and adopted datum plane.
The Afghan government denied its involvement and claimed that they were pro-Pashtunistan Pashtun tribesmen.	The Afghan government accepted its involvement and proved that they were pro-Pashtunistan Pashtun tribesmen.
Adults are on wing in early April and mid-October.	Only male adults are on wing in early April and mid-October.
Its primary function was to protect Mitchelville, a freedmen 's town located to its east.	Its primary function was to attack Mitchelville, a freedmen 's city located to its west.
Different mnemonics are in use in different countries.	Same mnemonics are in use in all countries.
The complex is representative of a small family-based pork processing facility.	The complex is representative of a huge corporate-based pork processing facility.
Some officials believe that many of these drug-related metal thefts are caused by methamphetamine users;.	Some officials believe that none of these drug-related metal thefts are causing methamphetamine users;.
The grebe probably opens its bill and looks down the eye-line toward its target.	The grebe definitely opens its bill and looks down the eye-line toward its needed location.
The area was once part of a travelling stock route and was used for grazing.	The area was never a part of a travelling stock route and was an obstruction for grazing.
The majority of the stores are located in regional shopping mall s.	The minority of the stores are found in regional shopping mall s.
He is working on adapting the story of Usonia to film.	He is working on adapting the story of Usonia to a book.
The inside of the lips is a dark colour.	The outside of the lips is a dark shade.
His thesis, titled Constructing the TreeFam database, was supervised by Wei-Mou Zheng.	His book, titled Constructing the TreeFam database, was rejected by Wei-Mou Zheng.
It is known to infect soybean crops.	It is found to cure soybean crops.
The angle between the points is known as the beamwidth.	The distance between the locations is known as the beamwidth.
Prior to Idaho, Zinser received national attention.	Prior to Zinser, Idaho received national and international attention.
In pregnancy, low molecular weight heparin and low-dose aspirin are used.	In pregnancy, high molecular weight heparin and high-dose aspirin are always used.
It was opened in 1950.	It was abolished in 1950.
It is the largest Civil War hoard ever discovered.	It is the smallest Civil War hoard ever found.
They have applications in image and video recognition, recommender system s.	They have uses only in image and video recognition, not in recommender system s.
This collaboration led to a Grammy nomination for Best Pop Collaboration with Vocals.	This co-operation led to a Grammy award for Worst Pop Collaboration with Vocals.
These results were presented at the 33rd Lunar and Planetary Science Conference.	These results were nowhere to be seen at the 33rd Lunar and Planetary Science Conference.
Lioptilodes fetisi is noted for its cream-white colour.	Lioptilodes fetisi is noted for its bright yellow colour.
In 1983 he was removed from the institute and the laboratory was dissolved.	In 1983 he was appointed to the institute and the laboratory was formed.
The reduction of lifespan has been studied and documented.	The improvement of lifespan has been studied but not documented.
It also discusses preparations for cold-weather fleet operations.	It only discusses preparations for warm-weather fleet operations.
His father, Charles Henry Hobbs, owned a knitting mill in Palmer, Massachusetts.	His uncle, Charles Henry Hobbs, worked at a knitting mill in Palmer, Massachusetts.
Blakes Road in Belfast is named for him and his younger brother John William.	Blakes Road in Belfast is named for his wife and her older husband John William.
Health workers and a journalist were allegedly attacked by security forces.	Health workers and a journalist were definitely defended by security forces.
As such, there is some overlap with big data, international development.	As such, there is no similarity to big data, international development.
The word freegan is a portmanteau of free and vegan.	The word freegan is a portmanteau of expensive and meat-eater.
Commonly used drugs for ORT are methadone or buprenorphine which are taken under medical supervision.	Rarely used drugs for ORT are methadone or buprenorphine which are taken without medical supervision.
The technique is relatively infrequently used by chiropractors compared to other chiropractic techniques.	The technique is always used by chiropractors compared to other chiropractic methods.
A 2007 literature synthesis found good evidence supporting SM and mobilization for low back pain.	A 2007 literature synthesis found weak evidence going against SM and mobilization for low back pain.
Interbreeding with non-native red foxes and recruitment success are primary conservation concerns.	Interbreeding with non-native red foxes and recruitment success are unimportant conservation issues.
Meyer continued to own the station, while being operated by Capitol via an LMA.	Meyer sold the station, while it was still being operated by Capitol via an LMA.
Therefore, complicated transhipment facilities needed to be erected.	Therefore, simple transhipment facilities needed to be formed.
The mystery of consciousness precludes a definitive answer to this question.	The mystery of sub-consciousness precludes no answer to this question.
The ban was officially lifted on September 8, 2008.	The ban was formally imposed on September 8, 2008.
Through the marriage, the Macnaghtens acquired the Dunkin family house at Bushmills.	Through the marriage, the Macnaghtens acquired the Dunkin family janitor at Wall Street.
It was subsequently designated the General District Courts Building.	It was never given the General District Courts Building.
Blairmorite, a rare volcanic rock of the Crowsnest Formation, is named after Blairmore.	Blairmorite, a typical volcanic stone of the Crowsnest Formation, is named after Blairmore.
In 1981 he was named as the member of the party's secretariat.	In 1981 he was named as the janitor of the party's offices.
Mining of sands from these areas impose severe environmental problems to the river basin environment.	Mining of sands from these areas impose moderate environmental problems due to the river basin environment.
Widener kept the works until he donated them to the National Gallery in Washington, D.C.	Widener kept the works until he burnt them in the National Gallery in Washington, D.C.
It is located within the SoHo - Cast Iron Historic District.	It is found far away from the SoHo - Cast Iron Historic District.
Net Impact, with the support of eBay, wrote the report Making Your Impact at Work.	Net Impact, with the competition against eBay, wrote the book Making Your Impact at Work.
Indian agricultural production increased under the Mughal Empire, during which India's population growth accelerated.	Indian agricultural production decreased under the Mughal Empire, during which India's population growth fell rapidly.
Further testing is needed to officially diagnose the patient.	Further testing is unnecessary to officially diagnose the patient.
In Congress southern Democrats blocked such efforts whenever Republicans targeted the issue.	In Congress northern Democrats blocked such efforts whenever Republicans ignored the issue.
DIGEST-MD5 already enabled mutual authentication, but it was often incorrectly implemented.	DIGEST-MD5 never empowered mutual authentication, but it was often incorrectly implemented.
He is the grandson of the actress Athene Seyler.	He is the father of the actress Athene Seyler.
He has also been named a rising star in the Downbeat Critic's Poll.	He has only been named a falling star in the Downbeat Critic's Poll.
As predicted, the system moved into the Arabian Sea without weakening by early November 9.	As calculated, the system moved into the Arabian Sea strengthening by early November 9.
Acoustic cues work over long and short distances, as well as for individual recognition.	Acoustic cues work over only short distances, as well as for group recognition.
In New Zealand it is listed as a terror group.	In New Zealand it is listed as a peace organization.
Heavy accumulation of insect debris on the windshield was cited as a contributing factor.	Heavy gathering of insect debris on the windshield was cited as a factor that can be ignored.
He was inducted in the International League Hall of Fame in 1948.	He was nominated for the International League Hall of Fame in 1948 was not inducted.
In 1956, he was selected to be host of Dance Party on WBKB-TV in Chicago.	In 1956, he was chosen to be guest of Dance Party on WBKB-TV in Chicago.
The award was given for his book A Collection of Articles on Reproduction Health.	The trophy was given for his paper A Collection of Articles on Reproduction Health.
E105 has been implicated in non-atopic asthma.	E105 has never been implicated in atopic asthma.
The basal condition for mammals is to have internal testes.	The basal condition for amphibians is to have internal testes.
Many reservations have been entered against certain articles of the Convention.	Many reservations have been entered for general articles of the Convention.
Origin and phylogeny has been determined by Antonio Arnaiz-Villena et al.	Origin and phylogeny has never been found by Antonio Arnaiz-Villena et al.
Mayer wrote a concurring opinion in Intellectual Ventures v. Symantec.	Mayer described a concurring fact in Intellectual Ventures v. Symantec.
As most fish, Lethrinus rubrioperculatus is the host of many species of parasite s.	As all fish, Lethrinus rubrioperculatus is the vector of many species of parasite s.
It is very common in eastern and southern Africa, but absent in very dry habitats.	It is very rare in eastern and southern Africa, but present everywhere in very dry habitats.
A range of image classification techniques can be employed for this purpose.	A range of image classification techniques can never be used for this process.
The Washington Post featured a road trip to Reston in January 2006.	The Washington Post included an air trip to Reston in January 2006.
PPL Electric Utilities and FirstEnergy subsidiary Met-Ed both provide electricity to Stroudsburg.	PPL Electric Utilities and FirstEnergy parent company Met-Ed provides electricity to Stroudsburg.
In the subsequent Power Jets W.1 the compressor material was changed to RR.59.	In the subsequent Power Jets W.1 the compressor material was chosen to remain the same: RR.59.
Beginning in 2014, students will be further required to pass a Technology class.	Beginning in 2014, students will be further needed to fail a Technology class.
Later scolars seem to accept the validity of the genus.	Later scolars seem to accept that the genus is invalid.
Another well-known example of the blowhole is the natural entrance to the Wind Cave.	Another unknown example of the blowhole is the natural invasion in to the Wind Cave.
Calls were encrypted, using ( CMEA ), which was later found to be weak.	Calls were encrypted, using ( CMEA ), which was later discovered to be a strong choice.
This area is considered to be in Eco Sub-Region 3c by data.	This region is considered to be outside Eco Sub-Region 3c by speculation.
All candidates were accorded equal talk times at the Univision forum.	Some candidates were accorded smaller talk times at the Univision forum.
However, Chomsky's poverty of the stimulus argument is controversial within linguistics.	However, Chomsky's poverty of the stimulus argument is accepted widely within linguistics.
A number of serious health problems limited her political activities in the late 1930s.	A number of insignificant health problems promoted her political activities in the late 1930s.
And this blade-switch also has a serial console cable for direct access to the CLI.	And this blade-switch only has a serial console cable for indirect access to the CLI.
The FAA approved AC 20-115C.	The FAA rejected AC 20-115C.
He attended the University of New Mexico.	He was never at the University of New Mexico.
Namibia kept this law on the books after it became independent in 1990.	Namibia removed this law from the books before it became independent in 1990.
Curated by John Szarkowski.	Rejected by John Szarkowski.
Within the site the Red Data Book listed barn owl can be found.	Outside the site the Red Data Book listed barn owl can not be located.
The nomination of CE candidates by the nominating committee is a form of organisational nomination.	The nomination of CE proposed options by the nominating committee is a form of authoratative nomination.
It is infamous for its strict zoning regulations.	It is infamous for its flexible zoning rules.
The aircraft landed safely at Meekatharra following restart of the engines at lower altitude.	The aircraft crashed near Meekatharra following restart of the engines at lower altitude.
This plant was constructed by Queen's University Belfast in partnership with Wavegen Ireland Ltd.	This plant was destroyed by Queen's University Belfast in co-operation with Wavegen Ireland Ltd.
The commodity chemical hydrogen fluoride is produced from fluorspar by treatment with sulfuric acid.	The commodity chemical hydrogen fluoride is used to produce fluorspar by treatment with sulfuric acid.
It rejects any unilateral disarmament on its part.	It accepts all unilateral disarmament on its part.
The clumping habit makes it excellent for use as wildlife cover.	The clumping habit makes it poor for utilization as wildlife cover.
He was MRND Vice-Chairman for Gisenyi prefecture.	He was MRND Vice-President against Gisenyi prefecture.
He also earned the Hobey Baker Award.	He only won the Hobey Baker Award.
He also briefly held a position of Visiting Lecturer at UCLA in 1967.	He only extensively held a position of Visiting Lecturer at UCLA in 1967.
The stadium also has conference facilities and is licensed for marriage ceremonies.	The stadium only has conference facilities and is licensed for eloping ceremonies.
The Germans arrived on 26 July.	The Germans went away on 26 July.
Some however are tendered individually.	Some however are tendered through groups.
The PCST Network seeks to promote new ideas, methods, intellectual and practical questions and perspectives.	The PCST Network seeks to demote new ideas, methods, intellectual and theoretical questions and perspectives.
The company has been rated iAAA by ICRA.	The product has been rated ICRA by iAAA.
Its decision often involves business relationships with these neighboring ASs.	Its decision always involves business relationships with these adjacent ASs.
Promising results were obtained in the treatment of androgenetic alopecia.	Promising results were nowhere to be found in the treatment of androgenetic alopecia.
This was merged with Metropolitan Fibre Systems (MFS) before being sold for $14.3bn.	This was joined with Metropolitan Fibre Systems (MFS) after being sold for $14.3bn.
It was included in NAMA VDI version 1.0, announced in 2009.	It was not included in NAMA VDI version 1.0, launched in 2009.
The commission was chaired by Cecil Henry Ethelwood Miller.	The commission was promoted to Cecil Henry Ethelwood Miller.
USGS studied effects of mine collapse on groundwater hydrology.	USGS studied effects of mine formation on seawater hydrology.
Strategic Air Command assumed responsibility for missile warning and space surveillance systems.	Strategic Air Command was given freedom from missile warning and space surveillance systems.
Its drought resistance helps it to survive in dry environments.	Its drought susceptibility endangers it to survive in dry environments.
The school was founded in 1941.	The school was closed forever in 1941.
Assured of significant financial commitment by AARNet to utilize the network.	Assured of moderate financial commitment by AARNet to use the network.
However, PFAPA has been found in adults and may not spontaneously resolve.	However, PFAPA has been declared non-existent in adults and will definitely spontaneously resolve.
On the court, he was leader in the reform of California rape laws.	On the court, he was uninvolved in the reform of California rape laws.
The store is surrounded by an expansive lawn, bordered by a stream.	The store is surrounded by a very cheap lawn, bordered by a river.
They migrated from a Red Hat-based system incrementally on 2013.	They migrated from a Red Hat-based system all at once in 2013.
It carries traffic at high speeds.	It carries traffic at very low speeds.
They find that polarization has increased dramatically since 1994.	They find that polarization has gone down drastically since 1994.
It lies on the main Lurgan to Gilford road.	It lies off of the main Lurgan to Gilford road.
Johnson judged his own poem harshly; he revised it in 1748.	Johnson judged his own poem leniently; he revised it in 1748.
They have associated with UNDP for support activities for the MSM and TG communities.	They have avoided association with UNDP for support activities for the MSM and TG communities.
Fragments of jars and burnished vessels may suggest that there was a small-scale occupation.	Fragments of jars and burnished vessels may suggest that occupation there was impossible.
Red Ochre is thought to have played an important role in ritual.	Red Ochre is thought to have played an insignificant role in ritual.
Chemical modifications of these basic amino acid residues include methylation, phosphorylation, and acetylation.	Chemical modifications of these basic amino acid residues exclude methylation, phosphorylation, and acetylation.
The SEV consists of a chassis and cabin module.	The SEV excludes a chassis and cabin module.
The creeping habit creates large clumps of plants.	The creeping habit creates tiny clumps of plants.
On 1 January 1953, he was promoted to Assistant Lecturer in Phonetics.	On 1 January 1953, he was demoted to the post of Assistant Lecturer in Phonetics.
They may be administered by injection.	They are unable to be administered by injection.
They were managed by Bill Stuart.	They were managed by someone other than Bill Stuart.
The complex closed in 1979.	The complex reopened in 1979.
It has a symmetrical facade and sits on a stone foundation.	It has an asymmetrical facade and sits on a wooden foundation.
The building was designated a New York City landmark on January 14, 1997.	The building was deemed ineligible as a New York City landmark on January 14, 1997.
The pilot project was so successful that BLM allowed it to go nationwide in 1976.	The pilot project was so bad that BLM cancelled its plans to go nationwide in 1976.
The following table shows Wolfman's record as a head coach.	The following table shows Wolfman's record as an assistant coach.
Williams did not respond to a request to meet with Mitchell to address these accusations.	Williams immediately responded to a request to meet with Mitchell to address these accusations.
These may be compound objects containing other intellectual entities and may have multiple digital representations.	These may be compound objects containing other intellectual entities and necessarily have a single digital representation.
He was possibly the father or brother of Isaac van Duynen, a still life painter.	He was possibly the father or brother of Isaac van Duynen, a modern art painter.
