sentence	negated
There are no large incorporated cities within Battalion 2.	There are several large incorporated cities in Battalion 2.
His brother Jamie Oxenbould is also an actor, as is Jamie's son, Ed Oxenbould.	His brother Jamie Oxenbould serves as an actor, as is Jamie's daughter, Ed Oxenbould.
The organization's executive director testified before the Senate Judiciary Committee in support of the legislation.	The organization's executive director issued a testimony before the Senate Judiciary Committee against the legislation.
It features crenellation, stepped buttress es and lancet windows with stained glass.	It consists of crenellation, stepped buttress es and lancet windows with crystal clear glass.
It is considered the only urban settlement in the country, apart from the capital.	It is deemed the only rural settlement in the country, apart from the capital.
It has a Greek Revival style interior finish.	It posseses a Roman Revival style interior finish.
It is found in Kazakhstan, Turkmenistan and Iran.	It is absent form Kazakhstan, Turkmenistan and Iran.
For a given length, the female has a higher (more rounded, less flat) top shell.	For a given length, the male has a higher (more rounded, less flat) upward shell.
The building continues to be used as a rental/apartment building by the Hartman family.	The building ceased to act as a rental/apartment building by the Hartman family.
In 2014, The RSPCA commissioned an independent review of its prosecution activity.	In 2014, The RSPCA issued an independent review of its peace activity.
Another known locality is the environs of the Bagrati Cathedral near Kutaisi in Georgia.	Another unknown foreigner is the environs of the Bagrati Cathedral near Kutaisi in Georgia.
The open circuit effect is also known as the antimony free effect.	The open circuit effect is also termed as the antimony bound effect.
It is found in Peru ( Carabaya ).	It is absent from Peru ( Carabaya ).
The popularity of these drugs have increased significantly since then, with millions prescribed annually.	The popularity of these drugs have fallen greatly since then, with millions prescribed annually.
In 2005 the Connecticut Appellate Court denied the Senator's ex-wife's request for increased child support.	In 2005 the Connecticut Appellate Court approved the Senator's ex-wife's request for higher child support.
Its evaluations of welfare work programs influenced the welfare reform of the 1990s.	Its evaluations of welfare work programs did not impact the welfare reform of the 1990s.
The mite Creutzeria seychellensis has been found in the pitchers of N. pervillei.	The mite Creutzeria seychellensis has been absent from the pitchers of N. pervillei.
The role of the Provinces is to manage and provide the care as needed.	The role of the Provinces is to manage and provide the care as needed.
He owns the Blue Loon bar in Fairbanks, which he founded.	He sold the Blue Loon bar in Fairbanks, which he created.
The social explanation sees observed cases of people identified as zombies as a culture-bound syndrome.	The social explanation considers observed cases of people identified as zombies as a socially universal syndrome.
The final products have a different appearance depending on purity and have different names.	The final products have the same appearance depending on purity and have the same names.
It is suspected that all nitrate on Mars is a relic, with no modern contribution.	It is suspected that all nitrate on Mars is new, with many modern contributions.
It must be taken at the start of main meals to have maximal effect.	It must be taken at the end of major meals to have maximal effect.
In 2012 Kettering High School closed, and some students were rezoned to King.	In 2012 Kettering High School remained open but some students were rezoned to King.
Adults are on wing in July and August.	Adults are absent from the wing in July and August.
He was frequently listed on The 500 Most Influential Muslims.	He was seldom recorded on The 500 Most Influential Muslims.
The MMM Group study was also peer-reviewed.	The MMM Group study was unable to be peer-reviewed.
Most of the officers had leftist sympaties and connections to the Portuguese Communist Party.	Majority of the officers had conservative sympaties and connections to the Portuguese Communist Party.
Greene, who wrote much about the London underworld, once hired Ball as a bodyguard.	Greene, who wrote very little about the London underworld, once working Ball as a bodyguard.
Markers were constructed from hundreds or thousands of relays mounted together in large frames.	Markers were founded from hundreds or thousands of relays mounted separately in large frames.
In December 2015, Kazakhstan Government approved new privatization plan for 2016 - 2020.	In December 2015, Kazakhstan Government denied new privatization idea for 2016 - 2020.
It was inspired by Cohen and O'Brien's fear of adulthood.	It was motivated by Cohen and O'Brien's lack of concern for adulthood.
The Act also provides for sales tax, bankruptcy, and administrative processes for hearing disputes.	The Act also supplies for sales tax, bankruptcy but not for administrative processes for hearing disputes.
Also on the property are the contributing small frame outbuilding, office, dairy, and family cemetery.	Also absent from the property are the contributing small frame outbuilding, office, dairy, and family cemetery.
The series name comes from the callsign of the patrol car of the main characters.	The series name is derived from the callsign of the patrol car of the secondary characters.
Its instruments gained praise from Petrowitsch Bissing of the Bissing Conservatory of Music.	Its instruments received insults from Petrowitsch Bissing of the Bissing Conservatory of Music.
Located in the district is the separately listed Fair Forest Hotel.	Not situated in the district is the independently listed Fair Forest Hotel.
The option was used to make further rule changes in 1975.	The option was unable to be appliedto make further rule changes in 1975.
The building is now home to the Macon County Historical Society and Museum.	The building is now home to the Macon County Historical Society and Museum.
Hardy multicellular organisms (rotifer cysts) may be included to induce higher evolution.	Hardy multicellular organisms (rotifer cysts) can not be included to induce higher evolution.
The building is operated by the Railroad House Historical Association as a museum.	The building is functioned by the Railroad House Historical Association as an amusement park.
Multi-layer background subtraction, based on color and texture, is considered the most robust algorithm.	Multi-layer background subtraction, dependent on color and texture, is considered the least robust algorithm.
Other dangers include nerve compression, circulation problems and fainting due to increase in blood pressure.	Other dangers consist of nerve compression, circulation problems and fainting due to drop in blood pressure.
Douglass and the Posts also collaborated in ferrying fugitive slaves.	Douglass and the Posts also worked separately in transporting fugitive slaves.
The interior banking hall (on the first floor) was noted for its particularly sumptuous decoration.	The interior banking hall (on the first floor) was noted for its specific lack of decoration.
It is found in Transcaucasia, the Caucasus, Turkey, Iran, Jordan, Israel and northern Egypt.	It is observed in Transcaucasia, the Caucasus, Turkey, Iran, Jordan, Israel but not in northern Egypt.
Bristol University closed in 1994 and Sumerell and his wife filed for bankruptcy in 1995.	Bristol University remained open throughout 1994 and Sumerell and his wife filed for bankruptcy in 1995.
Thymol can also be used as a medical disinfectant and general purpose disinfectant.	Thymol may also be used as a medical dinfectant and general purpose infectant.
It provides a form of market exclusivity outside that provided by patent rights.	It supplies a kind of market inclusivity outside that provided by patent rights.
Documented Bedoon are at risk of persecution or breach of human rights;.	Documented Bedoon are are completely safe from persecution or breach of human rights;.
It is intact but in storage awaiting the development of another addition to the Museum.	It is not intact but in storage having completed the the development of another addition to the Museum.
It is widely believed that this is not the case.	It is widely believed that this is indeed the situation.
The paper has a far-leaning social, liberal and centre-left stance.	The paper has a far-leaning social, conservative and centre-right stance.
Antony Sutton describes the pre-war books with comments added to antisemitic connotations.	Antony Sutton explains the pre-war books with comments removed from antisemitic connotations.
It is found in Queensland, Australia.	It is hard to find in Queensland, Australia.
After being made accessible by the railway it became a very popular resort for Manitobans.	After being made available by the railway it became a very unpopular resort for Manitobans.
Hence, developing countries can benefit from non-concessional foreign borrowing to finance high-prospect public capital investments.	Hence, developing countries can get no advantage from non-concessional foreign borrowing to sponsor high-prospect public capital investments.
Honeybee s pollinate the flowers.	Honeybee s is unable to pollinate the flowers.
Kit was an assistant professor of modern languages at the National University.	Kit served as an associate professor of modern languages at the National University.
Psychologist Rosemary Nodder from the University of Hertfordshire represented socionics for the event.	Psychologist Rosemary Nodder from the University of Hertfordshire was unable to represent socionics for the event.
It is possible to progress directly to at these universities across the globe.	It is impossible to reach directly to at these universities across the globe.
It has a high deck-on-hip roof with dormers and semicircular entrance porch with fluted columns.	It has a low deck-on-hip roof with dormers and spherical entrance porch with fluted columns.
The official Navy Style Guide says that hull numbers do not include hyphens.	The official Navy Style Guide says that hull numbers also consist of hyphens.
Specifically, countries which produce more solid waste are more economically developed and more industrialized.	Particularly, countries which supply more solid waste are less economically developed and less industrialized.
Thus, in practice, many olive oils have significantly lower melting temperatures.	Thus, in reality, many olive oils have significantly higher melting temperatures.
He has written several books on nutrition, trace metals, and biochemistry imbalances.	He has published several books on nutrition, trace metals but not biochemistry imbalances.
It can be found in the Amazonas River.	It can be found very far from the Amazonas River.
A group of spawning white sucker s were observed in the creek in the 1920s.	A group of spawning white sucker s were observed in the creek in the 1920s.
Examples of flyting are found throughout Norse, Celtic.	Instances of flyting are absent throughout Norse, Celtic.
Bamber is serving life imprisonment without the possibility of parole.	Bamber is given life imprisonment with the possibility of parole.
In 2003 Desrosiers was cast as a choreographer in The Company.	In 2003 Desrosiers was unable to be casted as a choreographer in The Company.
Hackney wards are redrawn and the ward is abolished from the May 2014 election.	Hackney wards are redrawn and the ward is included in the May 2014 election.
The UR is quite thin, the telson being fairly short in length.	The UR is quite thick, the telson being fairly long in length.
Sheffield Interchange handles most services and is the start point/terminus for a number of them.	Sheffield Interchange caters most services and is the end point/terminus for a number of them.
It received a gold award from the New Zealand Institute of Architects in 1927.	It attained only a bronze award from the New Zealand Institute of Architects in 1927.
These statements were used to develop the Leaders Behavior Description Questionnaire (LBDQ).	These statements were not used to create the Leaders Behavior Description Questionnaire (LBDQ).
It features a low and broad polygonal cupola atop the tile roof.	It contains a high and broad polygonal cupola atop the tile roof.
A 2011 study based on genetics placed the genus Selysia under this genus.	A 2011 study based on genetics recorded the genus Selysia under a different genus.
The national park is classified as an IUCN Category VI protected area.	The national park is considered as an IUCN Category VII protected area.
Saffron performs anti-aliasing by first computing an explicit or implicit adaptively-sampled distance field (ADF).	Saffron performs anti-aliasing by simply guessing an explicit or implicit adaptively-sampled distance field (ADF).
BTG2 has been shown to interact with PRMT1, HOXB9, CNOT8 and HDAC1 HDAC4 and HDAC9.	BTG2 has been reported to interact with PRMT1, HOXB9, CNOT8 and HDAC1 HDAC4 but not HDAC9.
Based on his parliamentary faction Poroshenko eventually established the Party of Ukraine's Solidarity.	Relying on his parliamentary faction Poroshenko eventually destroyed the Party of Ukraine's Solidarity.
Gay and bisexual men are allowed to donate blood in San Marino.	Gay and bisexual men are not permitted to donate blood in San Marino.
Some scholars criticize the existence of circuit splits.	All scholars appreciate the existence of circuit splits.
Also, the quality of data is crucial.	Also, the quality of data is quite insiginficant.
For example, the following Java code causes the simplenlg system.	For instance, the following Java code causes the system to crash.
In 1963, a new science block and bus bays were added.	In 1963, a new science block and bus bays witnessed removals.
The pion rocket has been studied independently by Robert Frisbee.	The pion rocket has been examined jointly by Robert Frisbee.
It was rediscovered in 2008.	It was not discovered in 2008.
Conference tournament winners noted with # Source.	Conference tournament winners are not recorded with # Source.
She trained as a neurologist at Boston City Hospital which she completed in 1949.	She worked as a janitor at Boston City Hospital which she left in 1949.
It wholly owns Community West Bank under the Bank Holding Company Act.	It partially has ownership of Community West Bank under the Bank Holding Company Act.
Mohammed and a number of others were under indictment.	Mohammed and a few others were not under indictment.
Monkeys will self-administer modafinil if they have previously been trained to self-administer cocaine.	Monkeys will self-inflict modafinil if they have not previously been trained to self-administer cocaine.
Ivanhoe Elementary School opened in 1962 and closed in 1981.	Ivanhoe Elementary School remained closed throughout 1962 and opened in 1981.
This makes them vulnerable to fungal diseases of the nose such as aspergillosis.	This causes them to be resistant to fungal diseases of the nose such as aspergillosis.
The intensity in Copala reached MM VII.	The impact in Copala reached MM VIII.
Adults are on wing from early December to early April.	Adults are absent from wing from early December to early April.
This species is only known from larvae.	This species is known from everywhere but the larvae.
Slurry pipeline s use a slurry of water and pulverized coal.	Slurry pipelines make use of a slurry of water and pulverized gasoline.
It can be used for retaining walls, bridge abutments, seawall s, and dikes.	It may be used for retaining walls, bridge abutments, seawall s, but not dikes.
The stadium was the site of football (soccer) matches during the 2004 Summer Olympics.	The stadium was the place of cricket matches during the 2004 Summer Olympics.
Then, they grouped them into whatever labels they thought to be appropriate.	Then, they placed them into whatever labels they thought to be inappropriate.
This is true and not false.	This is false and not true.
More complex withdrawal strategies have also been created.	More intricate withdrawal strategies have also been abandoned.
In an account-based system for tickets, the rights of the tickets are managed in accounts.	In an economic-based system for tickets, the rights of the tickets are managed personally by each individual.
The Roberdel Mill administrative offices were housed in the Manufacturers Building.	The Roberdel Mill administrative offices were not noted in the Manufacturers Building.
She was elected a Fellow of the Royal Society of Edinburgh.	She was not chosen as a Fellow of the Royal Society of Edinburgh.
In addition, the Rutt/Etra scan processor.	In addition, the Rutt/Etra do not scan processor.
In 2012 the FDA approved a liposomal formulation of vincristine branded as Marqibo.	In 2012 the FDA denied all liposomal formulations of vincristine branded as Marqibo.
The Kiwirail investigation determined that driver error was the cause.	The Kiwirail investigation figured that driver error was not the cause.
This list is not exhaustive of the subject matter.	This list is quite exhaustive and detailed of the subject matter.
Most insects use a method that creates a spiralling leading edge vortex.	The majority of insects use a method that removes all spiralling leading edge vortex.
Tropical peat s have been identified in its basin area.	Tropical peat s have not been noted in its basin area.
The specific name is derived from Latin ancilla (meaning a servant).	The specific name is derived from Latin ancilla (meaning a master).
Numerous improvements have been made in NVG technology since the accident occurred.	Little Various improvements have been made in NVG technology since the accident took place.
In the Tagab area there has been no government presence at all since 2006.	In the Tagab area, there has been significant government presence at all since 2006.
Syed Nawabjani Meerza of CPI(M)/Independent defeated Islam Nazrul of Congress in 1991.	Syed Nawabjani Meerza of CPI(M)/Independent lost to Islam Nazrul of Congress in 1991.
Also, scholarly journal s have discussed these policies before and after the Johnson Controls case.	Also, scholarly journals have refrained from discussing these policies before and after the Johnson Controls case.
He has been credited with advancing the evolution and development of interventional pain management.	He has been credited with taking forward the evolution and abandonment of interventional pain management.
Furthermore, the oak is the most common woodland tree in England.	Furthermore, the oak is the amongst the least common woodland tree in England.
News Limited supported the pair throughout the hearings.	News Limited advocated against the pair throughout the hearings.
One well-known STMicroelectronics brand of this type of package is Multiwatt.	One popular STMicroelectronics brand of this type of package is not Multiwatt.
Relying on Tucker, the website states this species as Oenopota harpularius (Couthouy, J.P., 1838).	Not relying on Tucker, the website claims this species as Oenopota harpularius (Couthouy, J.P., 1838).
IOSH (CMIOSH) has a reciprocal agreement with the CRSP designation.	IOSH (CMIOSH) possesses a uni-directional agreement with the CRSP designation.
These disasters often impact most heavily on children.	These disasters often affect least heavily on children.
Another factor in the accident was the failure of a track circuit in the area.	An additional factor in the accident was the success of a track circuit in the area.
Kahn was the Hudson's driving intellect and Singer built up the institute's organization.	Kahn was the Hudson's weak intellect and Singer founded up the institute's organization.
This step should make preparation and further development of vaccine much faster and easier.	This step would make preparation and further development of vaccine much slower and more difficult.
Soil testing may be necessary to properly diagnose nutrient deficiency diseases.	Soil testing may be required to properly diagnose nutrient overdosage diseases.
In the Sandhills, this was not enough land to support a family.	In the Sandhills, this served enough land to cater a family.
Enfield High School and Fermi High School merged in 2016 school year.	Enfield High School and Fermi High School became independent schools in 2016 school year.
Syama Prasad Barman and Gulam Hamidur Rahman, both of Congress, won from Raiganj in 1951.	Syama Prasad Barman and Gulam Hamidur Rahman, both of Congress, suffered a loss from Raiganj in 1951.
The school was said to be outstanding.	The school was claimed to be awful.
