sentence	negated
It also provides elderly persons flats at Chung Ling Sheh ( ).	It only supplies young persons flats at Chung Ling Sheh ( ).
They have even been known to jump out of the water to capture flying insects.	They have not been known to jump out of the water to consume flying insects.
They are federally recognized as part of the Fort McDermitt Paiute and Shoshone Tribe.	They are not federally acknowledged as part of the Fort McDermitt Paiute and Shoshone Tribe.
Some experts proposed blind review procedures for reviewing controversial research topics.	All experts advised visible review procedures for reviewing controversial research topics.
Kinglets are the most fecund and shortest-living of all altricial birds.	Kinglets are the least fecund and longest-living of all altricial birds.
In practice, Conservative rabbis frequently rule on prohibitions around melacha differently from Orthodox authorities.	In reality, Conservative rabbis seldom rule on prohibitions around melacha differently from Orthodox authorities.
In noise, Kosko introduced the concept of adaptive stochastic resonance.	In inconsistency, Kosko introduced the concept of constant stochastic resonance.
It was originally built to power Raleigh's electric street car system.	It was initially founded to power Raleigh's electric street bike system.
The GatorStar GXM integrates the GatorMIM CS with a 24 port LocalTalk repeater.	The GatorStar GXM separates the GatorMIM CS from a 24 port LocalTalk repeater.
One such sign is developmental instability, which has been proven as evidence of environmental stress.	One such symptom is developmental stability, which has been proven as evidence of environmental stress.
Its coat is speckled grey black forming a bluish shade, with some black patches.	Its coat is dotted with blue black forming a bluish shade, with some black patches.
However, it maintains positive relations with the Juggalos.	However, it possesses strained relations with the Juggalos.
Also on the property is a contributing brick garage.	Also absent from the property is a contributing brick garage.
Several other philosophers have written reviews of Hare's work on this topic.	All other philosophers have abstained from writing of Hare's work on this topic.
Crop diversity can protect against crop failure, and can also offer higher returns.	Crop diversity offer little protection against crop failure, and can also offer higher returns.
Mating takes place in the female's bell.	Mating takes occurs in the male's bell.
They were recruited by Governor James Douglas.	They were hired by Minister James Douglas.
The stream also has high levels of suspended solids and a low pH.	The stream also possesses low levels of suspended solids and a low pH.
Spanish boats have the domestically produced Indra BLQ-355, which may have been exported.	Spanish boats contain the domestically produced Indra BLQ-355, which may have been imported.
Bomi Territory in the western portion of the county became Bomi County in 1983.	Bomi Territory in the easter part of the county became Bomi County in 1983.
As such, it is similar to time orientations in some other non-Western culture regions.	As such, it is quite different from time orientations in some other non-Western culture regions.
It is also capable of breaking down organic pesticide s.	It is also incapable of catalysing organic pesticide s.
After retiring Palmer worked as a real estate developer.	Before retiring Palmer served as a real estate developer.
Hence, the sports ground was not used as a protest site.	Hence, the sports ground actively served as a protest site.
The review concluded that no radioactive contaminants were found that would warrant inclusion in FUSRAP.	The review concluded that several radioactive contaminants were noted that would warrant inclusion in FUSRAP.
The CAPS is commonly used as a Gold-Standard assessment, especially within the VA.	The CAPS is usually used as a Gold-Standard assessment, especially outside the VA.
Commercial supplies of C. carnea, usually eggs, are available from many outlets in North America.	Commercial supplies of C. carnea, usually eggs, are not accesible from any outlets in North America.
The vast majority of significant competition issues associated with mergers arises in horizontal mergers.	The vast majority of significant competition issues linked with mergers arises in vertical mergers.
Nonetheless, it has medium affinity for CA inhibitor sulfonamides.	Nonetheless, it possesses high affinity for CA inhibitor sulfonamides.
Mary's husband was nearly killed but fled into the forest.	Mary's husband was nearly murdered but fled into the river.
NJ Transit local bus service had been provided on the MCM8 route.	NJ Transit local bus service has always been inaccessible on the MCM8 route.
It is known from forests from Cameroon to Angola, Congo, Uganda, Kenya and Tanzania.	It is heard of from the deserts from Cameroon to Angola, Congo, Uganda, Kenya and Tanzania.
The interactive writing exercise Drafting Board also improved persuasive writing skills among 8th graders.	The interactive writing process Drafting Board also worsened persuasive writing skills among 8th graders.
Such people, however, obtain their food primarily from farm plots cleared from the forest.	Such people, however, attain their food primarily from farm plots hidden in the forest.
His post-graduate studies also included research in physiology, biochemistry and statistics for research workers.	His post-graduate studies did not consist of research in physiology, biochemistry and statistics for research workers.
East English Village Preparatory Academy is on the site of the former Finney High School.	East English Village Preparatory Academy is sutated far from the site of the former Finney High School.
They were placed in the genus Larus until recently.	They were not recorded in the genus Larus until recently.
The Labor Party then launched a high-profile media campaign against the Coalition's GST.	The Labor Party then started a high-profile media campaign advoctaing the Coalition's GST.
Other subjects studied have used previous knowledge such as racing times or historical information.	Other subjects been unable to study have used past knowledge such as racing times or historical information.
Salisbury has won 11.	Salisbury has lost 11.
Passively safe stations (such as the ESBWR ) are available to be built.	Passively safe stations (such as the ESBWR ) are not available to be established.
The Apex Chert (3.4 Ga) of the Pilbara craton, Australia preserved eleven taxa of prokaryotes.	The Apex Chert (3.4 Ga) of the Pilbara craton, Australia was unable to preserve eleven taxa of prokaryotes.
The following is a table of Woodson's NCAA head coaching records.	The following is a record of Woodson's NCAA head goal records.
Education in systems engineering is often seen as an extension to the regular engineering courses.	Education in systems engineering is often regarded as separate from the regular engineering courses.
He also played on defense as well as offense.	He only played on mid as well as offense.
The house is clad in weatherboard and has exterior end chimneys.	The house is full of weatherboard and has interior end chimneys.
The FTC has adopted rules regarding breach notification for internet-based vendors.	The FTC has adopted rules related to breach notification for offline-based vendors.
AUL opposes the contraceptive mandate in Obamacare.	AUL advocates the contraceptive requirement in Obamacare.
Some worry the Fed intervention creates moral hazard.	None trouble the Fed intervention creates moral hazard.
This signal is than used to change the input values of the system accordingly.	This signal is than used to keep the the input values of the system constant.
However, it has been known to run dry.	However, it has not been known to function dry.
ACE modeling, however, includes agent adaptation, autonomy, and learning.	ACE modeling, however, does not consist of agent adaptation, autonomy, and learning.
In 2009, UNESCO was researching a possible British reintroduction of the Mazarine blue to Britain.	In 2009, UNESCO was researching a possible British reintroduction of the Mazarine blue to Britain.
The Indus is used for drinking and irrigation.	The Indus is unable to be used for drinking and irrigation.
In a few areas meadow thistle ( Cirsium dissectum ) occurs.	In many regions meadow thistle ( Cirsium dissectum ) occurs.
This joint body decides on how Fairtrade Premiums will be spent to benefit plantation employees.	This joint body decides on how Fairtrade Premiums will be used to harm the plantation employees.
It is now no longer valid, as following revision by Paula et al.	It is now valid, as following revision by Paula et al.
It is also producing counter movements of sharing in the digital world.	It is also hindering counter movements of sharing within the digital world.
The pilot plant is being used to develop hydrogen technologies for larger hydrogen power plants.	The pilot plant is being used to create hydrogen technologies for smaller hydrogen power plants.
Their second album, Trapped Flame (October 2013), also reach the ARIA top 100.	Their second album, Trapped Flame (October 2013), was unable to hit the ARIA top 100.
With the use of EyeTap, such interaction is called seeing eye-to-eye.	With the application of EyeTap, such interaction is called seeing eye-to-ear.
The antemedial, postmedial and subterminal lines are faint white.	The antemedial, postmedial and subterminal lines are deep crimson.
It was deemed significant as a one-room schoolhouse preserved with good historic integrity.	It was considered insignificant as a one-room schoolhouse preserved with good historic integrity.
The new span would be a cable-stayed bridge.	The new span would be a wooden-supported bridge.
The design replaced a more ambitious 1913 plan for a 14-story municipal tower.	The design worked in conjunction with a more ambitious 1913 plan for a 14-story municipal tower.
Hurricanes Danny and Elena also impacted the islands in 1985.	Hurricanes Danny and Elena also had little effect on the islands in 1985.
Iowa College Acquisition Corporation, operating under the Kaplan University brand, also offers online programs.	Iowa College Acquisition Corporation, functioning under the Kaplan University brand, only offers offline programs.
The compact disc had been initiated and pushed by the audio department.	The compact disc had been started and opposed by the audio department.
It is known from Savanna and other open habitats in southern and eastern Africa.	It is not heard of from Savanna and other open habitats in southern and eastern Africa.
These surfaces make it easier for stormwater to carry pollutants into the surrounding soil.	These surfaces make it quite difficult for stormwater to transport pollutants into the surrounding soil.
An ACD is easily implemented with the activity scanning method of simulation execution.	An ACD is very difficult to apply with the activity scanning method of simulation execution.
A DBA filing carries no legal weight in establishing trademark rights.	A DBA filing possesses some amount of legal weight in establishing trademark rights.
Structures, roads and infrastructure that existed were repetitive, and increases in scale were incremental.	Structures, roads and infrastructure that were present were repetitive, and increases in scale were fairly constant.
The dependence on the frequency is usually small.	The dependence on the frequency is mostly large.
It was erected for the purpose of fabricating and storing missiles used in Operation Bumblebee.	It was established for the purpose of fabricating and storing missiles no longer used in Operation Bumblebee.
The New York City Bus -operated bus lines serve the avenue.	The New York City Bus -governed bus lines do not serve the avenue.
At listing date, the district included a bridge, a dam, a millrace, and four houses.	At listing date, the district does not comprise of a bridge, a dam, a millrace, and four houses.
Other cases include an Informational search with online learning.	Other cases do not consist of an Informational search with online learning.
It is endemic to Argentina, where it is known only from Mendoza Province.	It is not local to Argentina, where it is known only from Mendoza Province.
The Seattle Fault caused a large earthquake approximately 1100 years ago.	The Seattle Fault led to a very minor earthquake approximately 1100 years ago.
Dale Miller has described what is now called higher-order pattern unification.	Dale Miller has described what is now termed as a lower-order pattern unification.
It trained many of the lawyers, politicians, and leading planters at the time.	It trained many of the janitors, teachers, and leading scientists at the time.
Recent discoveries are claimed to support a thermoregulatory function, at least in smaller dinosaurs.	Recent discoveries are thought to support a thermoregulatory function, only in larger dinosaurs.
It has been studied as an electrolyte in flow batteries.	It has been examined as an electrolyte in dry batteries.
It contains less sodium (45 mmol/l) and more potassium (40 mmol/l) than reduced osmolarity ORS.	It consist of more sodium (45 mmol/l) and less potassium (40 mmol/l) than reduced osmolarity ORS.
The philosophical implications of hallucinatory experiences in the sane are discussed by McCreery.	The philosophical implications of hallucinatory experiences in the sane are completely ignored by McCreery.
The alphabet is thus as follows.	The alphabet is therefore not as follows.
Also on the property is a contributing frame front-gabled smokehouse.	Also absent from the property is a contributing frame front-gabled smokehouse.
The event has been considered to be a demonstration of the Olympic spirit transcending war.	The event has been regarded as a demonstration of the Olympic spirit opposing war.
The terms rape, sexual assault and sexual violence are frequently used interchangeably.	The words rape, sexual assault and sexual violence are seldom used interchangeably.
The Philippines has a territorial claim over much of the eastern part of Sabah.	The Philippines possesses a territorial claim over very little part of eastern part of Sabah.
It is found in South Africa, Kenya.	It is absent from South Africa, Kenya.
That put Bamber himself in the frame.	That put Bamber himself out of the frame.
Recently, the Helena Education Foundation conferred upon him a 2009 Distinguished Educator Award.	Recently, the Helena Education Foundation decided not to award him a 2009 Distinguished Educator Award.
It predicts significant technological and political changes in the mid-term future, including possible technological singularity.	It predicts significant technological and political changes in the mid-term future, not consisting of possible technological singularity.
A space weapon using unguided kinetic projectiles flew on the Soviet Almaz military space station.	A space weapon using guided fast moving projectiles flew on the Soviet Almaz military space station.
The thickets support breeding bird species.	The thickets is deterrant to breeding bird species.
The TSOM method is alleged to have several nanometrology.	The TSOM method is claimed to have very little nanometrology.
A common-law marriage has no documentary requirements.	A common-law marriage possesses several documentary requirements.
The ALSO Foundation is Victoria 's largest not-for-profit LGBT community organisation.	The ALSO Foundation is Victoria 's smallest non-profit LGBT community organisation.
The Air Accidents Investigation Branch could find no cause for the crash.	The Air Accidents Investigation Branch could find several reasons for the crash.
From 1982 to 1985, he played on the Panthers men's soccer team.	From 1982 to 1985, he took part on the Panthers men's cricket team.
This ramp is inventoried by the Pennsylvania Department of Transportation as State Route 8009.	This ramp is categorized by the Pennsylvania Department of Transportation as State Route 8010.
The IMF and United Nations economists advocated a coordinated international approach to fiscal stimulus.	The IMF and United Nations economists supported a coordinated national approach to fiscal stimulus.
The defaced, two-tone paint reduces each car's resale value by approximately $400.	The defaced, two-tone paint increases each car's resale price by approximately $400.
Adults are on wing from June to July and from September to October.	Adults are absent from the wing from June to July and from September to October.
Model tests in an ice tank showed that the proposed concept was feasible.	Model tests in an ice tank reported that the proposed concept was not feasible.
Xavier's College include some of the most illustrious contributors to Indian society.	Xavier's College does not consist of some of the most illustrious contributors to Indian society.
It is sometimes subdivided into smaller districts, including the Cathedral District and Riverfront District.	It is always divided into larger districts, including the Cathedral District and Riverfront District.
Ride height was marginally increased over FWD models, a newly developed multilink.	Ride height was greatly decreased over FWD models, a newly developed multilink.
It has a low hipped roof and flanking exterior end chimneys.	It has a high hipped roof and flanking interior end chimneys.
In 2010 Kenya passed the Counter-trafficking in persons act which criminalizes human trafficking.	In 2010 Kenya granted the Counter-trafficking in persons act which allows human trafficking.
Their feet may be light or dark in color.	Their feet may be dark or dull in color.
In statistical mechanics, Loschmidt's paradox may be expressed in terms of mutual information.	In statistical mechanics, Loschmidt's paradox may be expressed in terms of separate knowledge.
Specifically, they note its evasion of the peer review system and absence of boundary conditions.	Particularly, they note its evasion of the peer review system and presence of boundary conditions.
Fellow female singers on the album include Sarah Blasko and Sally Seltmann (as New Buffalo).	Fellow female singers on the album do not consist of Sarah Blasko and Sally Seltmann (as New Buffalo).
Social media played a central role in organizing the opposition.	Social media served a minor role in organizing the opposition.
An oral formulation of the drug with cyclodextrin was developed.	The development of oral formulation of the drug with cyclodextrin was abandoned.
In EViews, the Augmented Dickey-Fuller is available under Unit Root Test.	In EViews, the Augmented Dickey-Fuller is unavailable under Unit Root Test.
The property includes the MacCallum More Museum and Gardens.	The property does not consist of the MacCallum More Museum and Gardens.
Also located in the district are the separately listed Hill Mansion and Culpeper National Cemetery.	Also absent from the district are the separately listed Hill Mansion and Culpeper National Cemetery.
On the one hand some people argue they vastly improved Britain's housing stock.	On the one hand everyone argues they vastly worsened Britain's housing stock.
Tasks that involve growing samples are also fruitful for developing informal inferential reasoning.	Tasks that involve growing samples are very unsuccessful for creating informal inferential reasoning.
OWL DL and OWL Lite semantics are based on DLs.	OWL DL and OWL Lite semantics are not associated with DLs.
At low frequencies, the source follower pictured at right has the following small signal characteristics.	At low frequencies, the source follower pictured at right has the following large distinguishing characteristics.
Methanogenic consortia degrade styrene, using it as a carbon source.	Methanogenic consortia degrade styrene, using it as a nitrogen source.
All of the below comes from Rivest's revised paper on RC5.	All of the below have no correlation to Rivest's revised paper on RC5.
By 1870, exports dramatically increased, attracting capital from abroad (including Europe and USA).	By 1870, exports dramatically fell, discouraging capital from abroad (including Europe and USA).
She played in Hamlet at the North Shore Theater.	She was unable to play in Hamlet at the North Shore Theater.
The request for World Heritage status for Kamakura was duly withdrawn by Japan.	The request for World Heritage status for Kamakura was fully advocated by Japan.
The UCI permits special exceptions for the construction and geometry of track bikes.	The UCI does not allow special exceptions for the construction and geometry of track bikes.
Both sections rest on brick foundations, are sheathed in weatherboard, and have gable roofs.	Both sections rest on stone foundations, are unsheathed in weatherboard, and have gable roofs.
English is still spoken in the legal courts, and state legislative assembly.	English is no longer used in the legal courts, and state legislative assembly.
Waste that is to be disposed of at WIPP must meet certain waste acceptance criteria.	Waste that is to be disposed of at WIPP need not meet specific waste acceptance requirements.
The word also refers to the downward-facing viewing geometry of an orbiting satellite.	The word only refers to the upward-facing viewing geometry of an orbiting satellite.
The original specification included a binary header, and used an event table.	The initial specification did not consist of a binary header, and used an event table.
This failed to combat the increasing number of shackdwellers from the surrounding rural areas.	This were successful in their combat against the increasing number of shackdwellers from the surrounding rural areas.
Peer-reviewed research has generally not supported these statements.	Peer-reviewed research has mostly supported these statements.
After being extended, the wing tip may adjust to various angles, controlling aerodynamic movements.	After being reduced, the wing tip may adjust to different angles, controlling aerodynamic movements.
The traditional customs of dowry and bride price contribute to the practice of forced marriage.	The traditional customs of dowry and bride price are unrelated to the practice of forced marriage.
Charles Hockett proposed an information theoretic definition in 1955, which has since been generalized.	Charles Hockett proposed an information theoretic definition in 1955, which has since then been lost.
With fear because of the aftershocks, many people camped out in the hills for weeks.	With fear because of the aftershocks, many people remained in their homes for weeks.
Buddhist statues from 12th century CE were discovered here.	Buddhist statues from 12th century CE had no remnants here.
These species are more pathogenic.	These species are not pathogenic.
Tridacna clams can produce large white pearl s with an undulating, porcelain -like surface.	Tridacna clams can only produce small black pearl s with an undulating, porcelain -like surface.
As in traditional CAS, originals and replicas are acceptable.	As in traditional CAS, originals and duplicates are unacceptable.
It may also be used to treat bromhidrosis, although this usually responds to non-surgical treatments.	It can only be utilized to treat bromhidrosis, although this usually responds to non-surgical treatments.
Kirkstall Brewery Student Village won the City of Leeds Award for Architecture.	Kirkstall Brewery Student Village were unable to win the City of Leeds Award for Architecture.
The SF Police promptly demanded they be paid more than the LAPD.	The SF Police slowly asked that they be paid more than the LAPD.
Newman received her elementary education at the Jewish Hillel Day School of Metropolitan Detroit.	Newman failed to get her elementary education at the Jewish Hillel Day School of Metropolitan Detroit.
Indeed, until 1981, the Criminal Code provided for mitigating circumstances for so-called honour killings.	Indeed, until 1981, the Criminal Code provided only for mitigating situations for supposed honour abductions.
The system is fuelled by locally produced wood chip.	The system is not powered by locally produced wood chip.
Colorado Springs Parks and Recreation manages the Incline trail through an intergovernmental agreement.	Colorado Springs Parks and Recreation manages the decline trail despite the intergovernmental agreement.
B. ehrenbergii is the most cited species in the genus.	B. ehrenbergii is the least referred species in the genus.
On April 24, 2009, the IBIS Open Forum ratified version 2.0.	On April 24, 2009, the IBIS Open Forum completely rejected version 2.0.
He was also filed as a qualified write-in candidate in Alaska, Connecticut, Delaware, Illinois, Indiana.	He was only filed as an unqualified write-in candidate in Alaska, Connecticut, Delaware, Illinois, Indiana.
Tandy investigated this phenomenon further and wrote a paper entitled The Ghost in the Machine.	Tandy examined this phenomenon further and wrote a book called The Ghost in the Machine.
According to the Bureau of Meteorology, Rosita made landfall as a Category 5 cyclone.	According to the Bureau of Meteorology, Rosita made landfall as a Category 3 hurricane.
Gasoline direct injection with a twin-scroll turbocharger will be used on the higher power versions.	Gasoline indirect injection with a twin-scroll turbocharger will not be utilized on the higher power versions.
He spent the remainder of the 2008 season on the Jets' practice squad.	He went through the remainder of the 2008 season on the Jets' main squad.
New Zealand also listed it as a terror group.	Only New Zealand listed it as a terror organization.
The abdomen has a silvery sheen due to guanine crystals below the skin.	The abdomen has a black sheen due to guanine rocks below the skin.
CenturyTel's CEO Glen Post would remain CEO of the merged company following the acquisition.	CenturyTel's CEO Glen Post would be unable to stay CEO of the joined company following the acquisition.
The imposex phenomenon has been observed in the veined rapa whelk in Chesapeake Bay.	The imposex phenomenon has been seen in the smooth rapa whelk in Chesapeake Bay.
It has been criticized by Narayana Kocherlakota and Christopher Phelan.	It has been praised by Narayana Kocherlakota but opposed by Christopher Phelan.
Concerns include contamination of the non-genetically modified food supply.	Concerns exclude contamination of the non-genetically changed food supply.
These condition-action relations are the basis of knowledge.	These condition-action relations are what hinder the process of gaining knowledge.
It has also been used to great effect as a second-line treatment for Capnocytophaga infections.	It has only been utilized to great effect as a second-line treatment for Capnocytophaga infections.
During the Second World War the hall housed the remote operations room for RAF Wittering.	During the Second World War the hall refused to host the remote operations room for RAF Wittering.
More recent projects have aimed at bringing commercial development and public amenities to the area.	Contemporary projects have aimed at reducing commercial development and public amenities in the area.
It has been described by a Malaysian NGO as a success story of water privatisation.	It has been explained by a Malaysian NGO as a story of failure of water privatisation.
In 1992, the Theosophical Society in Canada became independent.	In 1992, the Theosophical Society in Canada was very dependent.
The hindwings are grey, with paler yellowish grey fringe scales.	The hindwings are orange, with paler yellowish green fringe scales.
Economic activity includes cement production, utilising locally occurring limestone.	Economic activity excludes cement production, using locally occurring limestone.
The World Wildlife Fund considers the Rio Conchos trout critically endangered.	The World Wildlife Fund considers the Rio Conchos trout abundantly existing.
There are cultivar s available, including 'Secar', which is especially tolerant of drought.	There are cultivar s available, excluding 'Secar', which is somewhat tolerant of drought.
It is sheathed in corrugated metal sheet siding and rests on a brick pier foundation.	It is sheathed in polished metal sheet siding and lies on a wooden pier foundation.
Millawanda and Milawata are accepted as ancient names for Miletus.	Millawanda and Milawata are accepted as very recent titles for Miletus.
High IQ scores are less reliable than IQ scores nearer to the population median.	High IQ scores are more reliable than IQ scores closer to the population average.
Eight rock carvings have been discovered and listed a declared monuments : Po Toi Island.	Eight rock carvings have been concealed and listed as hidden monuments : Po Toi Island.
He sold his seat and left the exchange in good standing in 1991.	He bought his seat and entered the exchange in neutral standing in 1991.
During the Leveson Inquiry she gave evidence under the name of Joanne Kathleen Rowling.	During the Leveson Inquiry she gave refused to show evidence under the title of Joanne Kathleen Rowling.
Congressman Jim Gerlach strongly supported keeping the Barnes in Lower Merion.	Congressman Jim Gerlach somewhat rejected keeping the Barnes in Lower Merion.
Ontology alignment tools have generally been developed to operate on database schema s.	Ontology alignment tools have mostly been designed to ignore database schema s.
Saracen commenced underground mining operations at King of the Hills in July 2016.	Saracen stopped any and all underground mining operations at King of the Hills in July 2016.
The IDF took over local Ramallah television stations, and social and economic conditions deteriorated.	The IDF took over local Ramallah television stations, and social and economic situations improved.
The sandy dunes had been used as a burial site.	The sandy dunes had not been utilized as a burial site.
In many circumstances, these investments can be less expensive than fossil fuel energy systems.	In a lot of situations, these investments can be more expensive than fossil fuel energy systems.
In 1991, he received the HCL Anderson Award from the Australian Library and Information Association.	In 1991, he failed to get the HCL Anderson Award from the Australian Library and Information Association.
The Bantoid languages probably do not actually form a coherent group.	The Bantoid languages definitely do really form a coherent group.
It is used in Ayurvedic medicine for liver disorders, hepatoprotection, gastritis, and heartburn.	It is not utilized in Ayurvedic medicine for liver disorders, hepatoprotection, gastritis, or heartburn.
Thaksin's policies were effective at reducing rural poverty.	Thaksin's policies were ineffective at decreasing rural poverty.
From a historical perspective, the term Named Entity was coined during the MUC-6 evaluation campaign.	From a historical point of view, the term Named Entity was coined way after the MUC-6 evaluation campaign.
Mobilisation of tumor cells has occurred in patients with leukaemia treated with plerixafor.	There is inexistence of mobilisation of tumor cells in patients with leukaemia treated with plerixafor.
In 2004, the ruling was upheld by the 5th Circuit Court of Appeals.	In 2004, the policy was rejected by the 5th Circuit Court of Appeals.
He was awarded the Patron's Gold Medal of the Royal Geographical Society in 1966.	He failed to win the Patron's Gold Medal of the Royal Geographical Society in 1966.
