sentence	negated
The accompanied software is almost brilliant.	The accompanied software isn't almost brilliant.
Headset works great & was packaged nicely to avoid any damage.	Headset doesn't work great & was packaged nicely to avoid any damage.
In my house I was getting dropped coverage upstairs and no coverage in my basement.	In my house I wasn't getting dropped coverage upstairs and no coverage in my basement.
Voice recognition is tremendous!	Voice recognition isn't tremendous!
During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.	During several different 2 minute calls, I experienced 5 drops and it wasn't in an area that had 5 bars.
I was not happy with this item.	I was happy with this item.
I got this phone on recommendation from a relative and I'm glad I did.	I got this phone on recommendation from a relative and I'm not glad I did.
Its reception is very very poor.	Its reception isn't very very poor.
Audio Quality is poor, very poor.	Audio Quality isn't poor, very poor.
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!	I didn't have absolutely no problem with this headset linking to my 8530 Blackberry Curve!
I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.	I don't know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.
I've bought $5 wired headphones that sound better than these.	I haven't bought $5 wired headphones that sound better than these.
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.	This phone is very fast with sending any kind of messages and web browsing isn't significantly faster than previous phones i have used.
This item is fantastic and works perfectly!	This item isn't fantastic and works perfectly!
W810i is just SUPERB.	W810i isn't just SUPERB.
All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.	All I can do isn't whine on the Internet, so here it goes.The more I use the thing the less I like it.
This is essentially a communications tool that does not communicate.	This isn't essentially a communications tool that does not communicate.
I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.	I still maintain that monkeys shouldn't make headphones, we just obviously share enough DNA to copy the design over to humans.
Doesn't work at all.. I bought it for my L7c and its not working.	Works at all.. I bought it for my L7c and its not working.
The look of it is very sharp and the screen is nice and clear, with great graphics.	The look of it is very sharp and the screen isn't nice and clear, with great graphics.
doesn't last long.	Lasts long.
One thing I hate is the mode set button at the side.	One thing I hate isn't the mode set button at the side.
Thank you for wasting my money.	Don't thank you for wasting my money.
How can that be? The audio quality is poor.	How can't that be? The audio quality is poor.
The iGo chargers and tips are really great.	The iGo chargers and tips aren't really great.
The file browser offers all the options that one needs. Handsfree is great.	The file browser doesn't offer all the options that one needs. Handsfree is great.
I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.	I didn't connect my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.
If you like a loud buzzing to override all your conversations, then this phone is for you!	If you like a loud buzzing to override all your conversations, then this phone isn't for you!
Don't buy this product.	Buy this product.
I've had this bluetooth headset for some time now and still not comfortable with the way it fits on the ear.	I haven't had this bluetooth headset for some time now and still not comfortable with the way it fits on the ear.
The sound quality is good and functionality is awesome.	The sound quality is good and functionality isn't awesome.
I have this phone and it is a thorn in my side, I really abhor it.	I have this phone and it is a thorn in my side, I really don't abhor it.
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.	I recently didn't have problems where I could not stay connected for more than 10 minutes before being disconnected.
But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.	But when I check voice mail at night, the keypad backlight doesn't turn off a few seconds into the first message, and then I'm lost.
Lately they have been extremely nice and helpful on the phone.	Lately they haven't been extremely nice and helpful on the phone.
I have had problems wit hit dropping signal and more.	I haven't had problems wit hit dropping signal and more.
Light weight, I hardly notice it is there.	Light weight, I hardly notice it isn't there.
You'll love how thin it is.	You won't love how thin it is.
The pleather case doesn't fit.	The pleather case fits.
The color is even prettier than I thought it would be, and the graphics are incredibly sharp.	The color is even prettier than I thought it would be, and the graphics aren't incredibly sharp.
All in all I think it was a good investment.	All in all I think it wasn't a good investment.
It makes very strange ticking noises before it ends the call.	It doesn't make very strange ticking noises before it ends the call.
The "1.2" mega pixel camera, being a part of a phone, is reasonably good.	The "1.2" mega pixel camera, being a part of a phone, isn't reasonably good.
I've had this for nearly 2 years and it has worked great for me.	I haven't had this for nearly 2 years and it has worked great for me.
We are sending it back.	We aren't sending it back.
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.	I bothered contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.
If you hate earbuds, avoid this phone by all means.	If you hate earbuds, don't avoid this phone by all means.
The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.	The range isn't very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.
I would highly recommend this.	I wouldn't highly recommend this.
I would recommend this.	I wouldn't recommend this.
I also didn't like the "on" button, it felt like it would crack with use.	I also didn't like the "on" button, it didn't feel like it would crack with use.
I'm still infatuated with this phone.	I'm not still infatuated with this phone.
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.	It isn't kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.
All in all, I'd expected a better consumer experience from Motorola.	All in all, I hadn't expected a better consumer experience from Motorola.
There's a horrible tick sound in the background on all my calls that I have never experienced before.	There isn't a horrible tick sound in the background on all my calls that I have never experienced before.
These are certainly very comfortable and functionality is decent.	These are certainly very comfortable and functionality isn't decent.
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.	I usually like headbands but this one is very lightweight & doesn't mess up my hair.
I'm a bit disappointed.	I'm not a bit disappointed.
I have had this phone for over a year now, and I will tell you, its not that great.	I haven't had this phone for over a year now, and I will tell you, its not that great.
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).	I didn't order this for sony Ericsson W810i but I think it only worked once (thats when I first used it).
The battery is completely useless to me.	The battery isn't completely useless to me.
Don't waste your $$$ on this one.	Waste your $$$ on this one.
Authentic leather with nice shine and comfort .I recommend you this case !!	Authentic leather with nice shine and comfort .I don't recommend you this case !!
I was very excited to get this headset because I thought it was really cute.	I wasn't very excited to get this headset because I thought it was really cute.
Do not make the same mistake as me.	Make the same mistake as me.
the phone was unusable and was not new.	The phone was unusable and was new.
Internet is excruciatingly slow.	Internet isn't excruciatingly slow.
It is very comfortable to wear as well, which is probably the most important aspect about using a case.	It is very comfortable to wear as well, which isn't probably the most important aspect about using a case.
It's fits like a glove and is strong, secure, and durable.	It isn't fits like a glove and is strong, secure, and durable.
O my gosh the best phone I have ever had.	O my gosh the best phone I haven't ever had.
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it	This product didn't have a strong rubber/petroleum smell that was unbearable after a while and caused me to return it
The cable looks so thin and flimsy, it is scary.	The cable looks so thin and flimsy, it isn't scary.
Only had this a month but it's worked flawlessly so far.	Only didn't have this a month but it's worked flawlessly so far.
THAT one didn't work either.	THAT one worked either.
Battery life is real good.	Battery life isn't real good.
Don't waste your money!	Waste your money!
Love this headset!	Don't love this headset!
Not only will it drain your player, but may also potentially fry it.	Not only won't it drain your player, but may also potentially fry it.
Unreliable - I'm giving up.	Unreliable - I'm not giving up.
Avoid this one if you can.	Avoid this one if you can't.
I wasted my little money with this earpiece.	I didn't waste my little money with this earpiece.
Best of all is the rotating feature, very helpful.	Best of all isn't the rotating feature, very helpful.
I love this bluetooth!	I don't love this bluetooth!
First of all, it doesn't wear well.	First of all, it wears well.
I am very impressed with this headset from Plantronics.	I am not very impressed with this headset from Plantronics.
I got it because it was so small and adorable.	I got it because it wasn't so small and adorable.
I wouldn't recommend buying this product.	I would recommend buying this product.
This item is great, installed it, let it charged up overnight and it has been working good every since with no problems	This item isn't great, installed it, let it charged up overnight and it has been working good every since with no problems
The voice recognition thru the handset is excellent.	The voice recognition thru the handset isn't excellent.
This is hands down the best phone I've ever had.	This isn't hands down the best phone I've ever had.
This one works and was priced right.	This one doesn't work and was priced right.
Customer service was terrible.	Customer service wasn't terrible.
Now I know that I made a wise decision.	Now I don't know that I made a wise decision.
Someone should've invented this sooner.	Someone shouldn't have invented this sooner.
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.	Everything didn't work on the first try.The device was certainly engineered in a clever way and the construction feels good.
As many people complained, I found this headset's microphone was very weak.	As many people complained, I found this headset's microphone wasn't very weak.
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.	My 5-year old Nokia 2160 from Tracfone doesn't hold the charge a lot better than this.
They do not care about the consumer one bit.	They care about the consumer one bit.
This is a good battery, and it got here really fast.	This isn't a good battery, and it got here really fast.
The instruction manual is lacking.	The instruction manual isn't lacking.
Also its slim enough to fit into my alarm clock docking station without removing the case.	Also its slim enough to don't fit into my alarm clock docking station without removing the case.
Phone now holds charge like it did when it was new.	Phone now doesn't hold charge like it did when it was new.
The battery is unreliable as well as the service use antenna.	The battery isn't unreliable as well as the service use antenna.
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).	It's uncomfortable and the sound quality isn't quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).
We have gotten a lot of compliments on it.	We haven't gotten a lot of compliments on it.
This is definitely a must have if your state does not allow cell phone usage while driving.	This is definitely a must haven't if your state does not allow cell phone usage while driving.
I love this device.	I don't love this device.
I am also very happy with the price.	I am not also very happy with the price.
I ordered this product first and was unhappy with it immediately.	I ordered this product first and wasn't unhappy with it immediately.
The Ngage is still lacking in earbuds.	The Ngage isn't still lacking in earbuds.
I was able to do voice dialing in the car with no problem.	I wasn't able to do voice dialing in the car with no problem.
I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.	I have 2-3 bars on my cell phone when I am not home, but you cant not hear anything.
However-the ringtones are not the best, and neither are the games.	However-the ringtones are the best, and neither are the games.
The plug did not work very well.	The plug worked very well.
The battery is working well as a replacement for the original that came with the phone over 2 years ago.	The battery isn't working well as a replacement for the original that came with the phone over 2 years ago.
The reception is excellent!	The reception isn't excellent!
It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.	It fits comfortably in either ear, the sound isn't clear and loud, and the charge lasts a couple of days.
very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.	Very clear, quality sound and you have to mess with the sound on your iPod since you have the sound buttons on the headset.
1. long lasting battery (you don't have to recharge it as frequently as some of the flip phones)2.	1. long lasting battery (you have to recharge it as frequently as some of the flip phones)2.
Obviously there is a problem with the adhesive.	Obviously there isn't a problem with the adhesive.
It was an inexpensive piece, but I would still have expected better quality.	It wasn't an inexpensive piece, but I would still have expected better quality.
It is practically useless and did not add any kind of boost to my reception after I bought it.	It isn't practically useless and did not add any kind of boost to my reception after I bought it.
Was not happy.	Was happy.
I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).	I haven't dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).
Reception is terrible and full of static.	Reception isn't terrible and full of static.
This little device has transformed my organizational capability and made my life a whole lot easier.	This little device hasn't transformed my organizational capability and made my life a whole lot easier.
I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.	I wasn't sitting in my vehicle, with the cradle on my belt, and the headset lost signal.
Their network coverage in Los Angeles is horrible.	Their network coverage in Los Angeles isn't horrible.
The loudspeaker option is great, the bumpers with the lights is very ... appealing.	The loudspeaker option isn't great, the bumpers with the lights is very ... appealing.
The only thing that I think could improve is the sound leaks out from the headset.	The only thing that I think could improve isn't the sound leaks out from the headset.
First off the reception sucks, I have never had more than 2 bars, ever.	First off the reception sucks, I have had more than 2 bars, ever.
The microphone also works well, but (according to people I have called) it amplifies everything.	The microphone also doesn't work well, but (according to people I have called) it amplifies everything.
Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.	Also, if your phone is dropped, this case is going to save it, specially when dropped face down.
It is light, easy to use, and has very clear reception and transmission.	It isn't light, easy to use, and has very clear reception and transmission.
It definitely was not as good as my S11.	It definitely was as good as my S11.
I had ordered a motorola data cable, got a very well finished and working product.	I hadn't ordered a motorola data cable, got a very well finished and working product.
Love This Phone.	Don't love This Phone.
I was looking for this headset for a long time and now that I've got it I couldn't be happier.	I wasn't looking for this headset for a long time and now that I've got it I couldn't be happier.
I'll be driving along, and my headset starts ringing for no reason.	I won't be driving along, and my headset starts ringing for no reason.
Display is excellent and camera is as good as any from that year.	Display is excellent and camera isn't as good as any from that year.
Battery life is also great!	Battery life isn't also great!
The worst phone I've ever had.... Only had it for a few months.	The worst phone I haven't ever had.... Only had it for a few months.
This is so embarrassing and also my ears hurt if I try to push the ear plug into my ear.	This isn't so embarrassing and also my ears hurt if I try to push the ear plug into my ear.
This is a VERY average phone with bad battery life that operates on a weak network.	This isn't a VERY average phone with bad battery life that operates on a weak network.
you can even take self portraits with the outside (exterior) display, very cool.	You can't even take self portraits with the outside (exterior) display, very cool.
Same problem as others have mentioned.	Same problem as others haven't mentioned.
After trying many many handsfree gadgets this is the one that finally works well.	After trying many many handsfree gadgets this isn't the one that finally works well.
The picture resolution is far below what other comparably-priced phones are offering today.	The picture resolution isn't far below what other comparably-priced phones are offering today.
This is a great deal.	This isn't a great deal.
Excellent product, I am very satisfied with the purchase.	Excellent product, I am not very satisfied with the purchase.
Better than you'd expect.	Better than you hadn't expect.
Using all earpieces, left or right, this thing will not stay on my ear.	Using all earpieces, left or right, this thing will stay on my ear.
don't waste your money and time.	Waste your money and time.
It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.	It isn't so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.	I didn't come over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.
I'll be looking for a new earpiece.	I won't be looking for a new earpiece.
I highly recommend this device to everyone!	I highly don't recommend this device to everyone!
Jawbone Era is awesome too!	Jawbone Era isn't awesome too!
I have used several phone in two years, but this one is the best.	I haven't used several phone in two years, but this one is the best.
This is the first phone I've had that has been so cheaply made.	This isn't the first phone I've had that has been so cheaply made.
Att is not clear, sound is very distorted and you have to yell when you talk.	Att is clear, sound is very distorted and you have to yell when you talk.
Price is good too.	Price isn't good too.
Don't make the same mistake I did.	Make the same mistake I did.
Oh and I forgot to also mention the weird color effect it has on your phone.	Oh and I didn't forget to also mention the weird color effect it has on your phone.
I'm using it with an iriver SPINN (with case) and it fits fine.	I'm not using it with an iriver SPINN (with case) and it fits fine.
Also the area where my unit broke).- I'm not too fond of the magnetic strap.	Also the area where my unit broke).- I'm too fond of the magnetic strap.
Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.	Overall, I am not psyched to have a phone which has all my appointments and contacts in and gets great reception.
Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.	Another note about this phone's appearance isn't that it really looks rather bland, especially in the all black model.
My Sanyo has survived dozens of drops on blacktop without ill effect.	My Sanyo hasn't survived dozens of drops on blacktop without ill effect.
I highly recommend this modest priced cellular phone.	I highly don't recommend this modest priced cellular phone.
But it does get better reception and clarity than any phone I've had before.	But it doesn't get better reception and clarity than any phone I've had before.
I wish I could return the unit and get back my money.	I don't wish I could return the unit and get back my money.
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.	I didn't use to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.
If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.	If you don't find it, too bad, as again the unit doesn't come with one earpad only.I would not recommend this to anyone.
I might have gotten a defect, but I would not risk buying it again because of the built quality alone.	I mightn't have gotten a defect, but I would not risk buying it again because of the built quality alone.
They made this case too small and is very difficult to install.	They made this case too small and isn't very difficult to install.
I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.	I wouldn't recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.
I searched the Internet, and found this one to be the best value.	I didn't search the Internet, and found this one to be the best value.
Does not fit.	Fits.
The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.	The screen size isn't big, key pad lit well enough, and the camera quality is excellent for a camera phone.
There's really nothing bad I can say about this headset.	There isn't really nothing bad I can say about this headset.
i'm glad i found this product on amazon it is hard to find, it wasn't high priced.	I'm glad i found this product on amazon it is hard to find, it was high priced.
My colleague & I now get great reception.A little expensive, but performance is great.	My colleague & I now don't get great reception.A little expensive, but performance is great.
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.	I even fully didn't charge it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.	I haven't also had problems with the phone reading the memory card in which I always turn it on and then off again.
We would recommend these to others.	We wouldn't recommend these to others.
Cant get the software to work with my computer.	Can get the software to work with my computer.
No buyers remorse on this one!	No buyers don't remorse on this one!
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.	I don't find this inexcusable and so will probably be returning this phone and perhaps changing carriers.
Looks great and is strong.	Looks great and isn't strong.
I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.	I haven't had TMobile service for 2 or 3 years now, and I am pretty happy with it.
The update procedure is difficult and cumbersome.	The update procedure isn't difficult and cumbersome.
Disappointment.. I hate anything that goes in my ear.	Disappointment.. I don't hate anything that goes in my ear.
The delivery was on time.	The delivery wasn't on time.
It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.	It holds a charge for a long time, isn't reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.
I'd like to return it.	I hadn't like to return it.
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.	The keyboard is really worthwhile in usefulness and isn't sturdy enough I don't expect any problems.
Verizon's bills, however, are difficult to understand even though their pricing plans are simple.	Verizon's bills, however, aren't difficult to understand even though their pricing plans are simple.
You won't regret it!	You will regret it!
I love this phone!	I don't love this phone!
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.	Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone isn't pitiful in that respect.
Then I exchanged for the same phone, even that had the same problem.	Then I didn't exchange for the same phone, even that had the same problem.
It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.	It isn't super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.
I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!	I wouldn't definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!
I had Verizon 2 years ago and really liked their service.	I didn't have Verizon 2 years ago and really liked their service.
Plug was the wrong size.	Plug wasn't the wrong size.
Save your money.... I've had this item for 11 months now.	Don't save your money.... I've had this item for 11 months now.
The bose noise cancelling is amazing, which is very important for a NYC commuter.	The bose noise cancelling is amazing, which isn't very important for a NYC commuter.
This battery is an excellent bargain!	This battery isn't an excellent bargain!
I would have given no star if I was able.	I wouldn't have given no star if I was able.
The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.	The sound quality for the device isn't unacceptable.Unless you are in a really quiet area, you almost hear nothing.
I would not recommend this item to anyone.	I would recommend this item to anyone.
The holster that arrived did not match the photo in the ad.	The holster that arrived matched the photo in the ad.
As an earlier review noted, plug in this charger and nothing happens.	As an earlier review noted, don't plug in this charger and nothing happens.
This frog phone charm is adorable and very eye catching.	This frog phone charm isn't adorable and very eye catching.
You never know if you pushed it hard enough or the right number of times for the function you want or not.	You never don't know if you pushed it hard enough or the right number of times for the function you want or not.
The sound is clear and the people I talk to on it are amazed at the quality too.	The sound is clear and the people I talk to on it aren't amazed at the quality too.
